   Symbol   |   Frequency %   
     e      |      0.1218026796589525   
     t      |      0.11327649208282582   
     o      |      0.06942752740560293   
     a      |      0.0682095006090134   
     n      |      0.06577344701583435   
     r      |      0.05968331303288672   
     i      |      0.057247259439707675   
     s      |      0.047503045066991476   
     u      |      0.04506699147381242   
     l      |      0.04263093788063337   
     h      |      0.04141291108404385   
     f      |      0.040194884287454324   
     d      |      0.03532277710109622   
     m      |      0.0341047503045067   
     c      |      0.031668696711327646   
     p      |      0.025578562728380026   
     g      |      0.0194884287454324   
     b      |      0.018270401948842874   
     y      |      0.014616321559074299   
     x      |      0.008526187576126675   
     q      |      0.0060901339829476245   
     k      |      0.0048721071863581   
     H      |      0.0048721071863581   
     T      |      0.0048721071863581   
     w      |      0.0048721071863581   
     C      |      0.00243605359317905   
     3      |      0.001218026796589525   
     W      |      0.001218026796589525   
     0      |      0.001218026796589525   
     E      |      0.001218026796589525   
     I      |      0.001218026796589525   
     6      |      0.001218026796589525   
     v      |      0.001218026796589525   
     D      |      0.001218026796589525   
     Y      |      0.001218026796589525   
     F      |      0.001218026796589525   


   Symbol   |   Huffman Code   
     e      |       10   
     t      |       11   
     o      |       010   
     a      |       011   
     n      |       0010   
     r      |       0011   
     i      |       00010   
     s      |       00011   
     u      |       000010   
     l      |       000011   
     h      |       0000010   
     f      |       0000011   
     d      |       00000010   
     m      |       00000011   
     c      |       000000010   
     p      |       000000011   
     g      |       0000000010   
     b      |       0000000011   
     y      |       00000000010   
     x      |       00000000011   
     q      |       000000000010   
     k      |       00000000000010   
     H      |       0000000000011   
     T      |       000000000011   
     w      |       0000000000010   
     C      |       00000000000011   
     3      |       000000000000000010   
     W      |       000000000000000001   
     0      |       000000000000000011   
     E      |       000000000000011   
     I      |       000000000000010   
     6      |       0000000000000010   
     v      |       000000000000000000   
     D      |       00000000000000011   
     Y      |       00000000000000010   
     F      |       0000000000000011   


4330
